title,cardDescription,description,topics,idExercises
Conectando a aplicação com o banco de dados,Utilizando Node.js com TyperORM e um banco da escolha da aluna,"Neste exercício, você irá criar uma aplicação Node.js que se conectará a um banco de dados usando TypeORM. A aplicação permitirá realizar operações básicas de CRUD (Create, Read, Update, Delete) em entidades que você definir.

---

**Objetivos**

- Configurar uma conexão entre a aplicação Node.js e um banco de dados utilizando TypeORM.
- Implementar operações CRUD para gerenciar entidades no banco de dados escolhido.
- Compreender como o TypeORM facilita a interação com bancos de dados relacionais.

**Pré-requisitos:**

- Conhecimentos básicos de JavaScript e Node.js.
- Instalar o Node.js e o npm em sua máquina.
- Familiaridade com conceitos de bancos de dados e SQL.


**Dicas:**

- Utilize **TypeORM** para gerenciar a conexão e as operações no banco de dados.
- Escolha um banco de dados que você já conheça, como MySQL, PostgreSQL ou SQLite, para facilitar a implementação.
- Consulte a [documentação do TypeORM](https://typeorm.io) para entender as opções de configuração e uso.


**Configuração Inicial**

1. Inicie um projeto Node.js: Abra seu terminal e crie uma pasta para o projeto. Em seguida, execute:

```bash
npm init -y
```

- Isso criará um arquivo package.json com configurações padrão.

2. Instale as dependências necessárias, incluindo **TypeORM** e um driver para o banco de dados que você escolheu. Por exemplo, para MySQL, execute:

```bash
npm install typeorm mysql
```

3. Configure a conexão com o banco de dados: Crie um arquivo de configuração ''ormconfig.json'' na raiz do projeto com as credenciais do seu banco de dados, como abaixo:

```json
{
  ""type"": ""mysql"",
  ""host"": ""localhost"",
  ""port"": 3306,
  ""username"": ""seu_usuario"",
  ""password"": ""sua_senha"",
  ""database"": ""nome_do_banco"",
  ""synchronize"": true,
  ""entities"": [""src/entity/*.ts""]
}
```

- Certifique-se de substituir os valores pelos seus dados reais.


Bom trabalho! 🚀",TypeORM,rw17304802690217eb318
Construindo e Testando um Sistema de Carrinho de Compras,O desafio consiste em testar um sistema simples de carrinho de compras.,"**Primeiros passos**

Para clonar o repositório base

```bash
git clone https://github.com/aceleradora-TW/exercicios-mocks-spies.git
```

Para instalar as dependências

```bash
npm install
```

Para rodar os testes uma única vez

```bash
npm run test
```

Para rodar os testes no modo observação

```bash

npm run test:watch

```

**Descrição**

Este exercício propõe que você desenvolva testes unitários para uma classe de Carrinho de Compras (Cart) em TypeScript. O objetivo é que a pessoa desenvolvedora exercite a criação de mocks e o uso de spies no Jest, garantindo que o NotificationService seja chamado quando um produto for adicionado, que produtos possam ser removidos corretamente, que o cálculo de total utilize o método reduce e que o carrinho possa ser limpo.



**O que você deve implementar**

1. Testes para adicionar um produto ao carrinho:

	- Validar se o produto foi adicionado corretamente

	- Garantir que o serviço de notificação foi chamado ao adicionar o produto



2. Testes para remover um produto do carrinho:

	- Confirmar que o produto foi removido corretamente após a chamada ao método de remoção



3. Testes para o cálculo do total de itens:

	- Adicionar múltiplos produtos e verificar se o total calculado está correto

	- Criar um spy para garantir que o método reduce foi utilizado no cálculo



4. Testes para limpar o carrinho:

	- Certificar-se de que ao limpar o carrinho não restem produtos na lista



Para completar a atividade, é necessário criar mocks para o NotificationService e aplicar spies sobre métodos internos usando as funcionalidades do Jest.



**Dica importante**

Lembre-se de restaurar qualquer spy criado após a execução do teste evitando que ele afete outros testes no mesmo arquivo.
https://github.com/aceleradora-TW/exercicios-mocks-spies.git",Mocking e Espiões,rw1732814508508e8129b
Contador  ocorrência,Segundo exercício da lista com o objetivo de aprofundar o aprendizado,"**O problema:**

Implemente um algoritmo que receba duas entradas: texto e busca. Este algoritmo deve retornar quantas vezes o valor da busca aparece dentro do conteúdo de texto. Implemente esta lógica dentro do método contadorDeOcorrencia. Veja alguns exemplos de entrada e saída:

# Cenários de teste
- Ao receber o texto ""bolo"" e a busca ""o"", o contador deve retornar ""2""
- Ao receber o texto ""batata"" e a busca ""a"", o contador deve retornar ""3""
- Ao receber o texto ""Alejandro"" e a busca ""a"", o contador deve retornar ""1""
- Ao receber o texto ""Uma Escola"" e a busca ""e"", o contador deve retornar ""0""



",Fundamentos(typescript Fundamentos),rw1751550527376edcf02
Contar múltiplos de 2 e 3 e múltiplos de 2 e 5,Quarto exercício da lista com o objetivo de garantir que o teste seja bem-sucedido,"**O problema:**

Implemente o método `analiseMultiplos`, que recebe vários números positivos até que o valor `-1` seja digitado e, ao final, informa quantos números são múltiplos de 2 e 5, e quantos são múltiplos de 2 e 3.

- O método deve iterar sobre os números e contar os múltiplos de cada condição.

## Exemplos:

- Para a entrada `[10, 15, 30, -1]`, a saída deve ser:
  - Múltiplos de 2 e 5: 2 (valores: 10, 30)
  - Múltiplos de 2 e 3: 1 (valor: 30)
- Para a entrada `[6, 12, 20, 25, -1]`, a saída deve ser:
  - Múltiplos de 2 e 5: 1 (valor: 20)
  - Múltiplos de 2 e 3: 2 (valores: 6, 12)
- Para a entrada `[15, 30, -1]`, a saída deve ser:
  - Múltiplos de 2 e 5: 1 (valor: 30)
  - Múltiplos de 2 e 3: 1 (valor: 30)
",Repetição,rw1727888842484d0b855
Criando componente UserInfo com Props,Personalize o componente UserInfo para exibir informações de diferentes usuários utilizando props,"**Instruções:**  
1. **No componente `UserInfo`:**  
   - Ajuste a implementação para que ele receba as seguintes informações como **props**:
     - **nome** (string).  
     - **sobrenome** (string).  
     - **idade** (número).  
     - **estaNaFaculdade** (booleano).  
   - Utilize **desestruturação** para acessar as props dentro do componente.  

   Exemplo:  
   ```javascript
   function UserInfo({ nome, sobrenome, idade, estaNaFaculdade }) {
     return (
       
         Nome: {nome}
         Sobrenome: {sobrenome}
         Idade: {idade}
         Está na faculdade? {estaNaFaculdade ? ""Sim"" : ""Não""}
       
     );
   }
",Componentes + props,rw1732552610168bb1015
Criando componentes,Organize seu projeto criando um componente para exibir informações pessoais e use-o na página Home,"**Instruções:**  
1. **Crie um diretório chamado `components` dentro da pasta `app`.**  

2. **Dentro de `components`, crie um arquivo chamado:**  
   `UserInfo.tsx` (ou `UserInfo.jsx` se estiver usando JavaScript).  

3. **Nesse arquivo:**  
   - Utilize as variáveis criadas no exercício **""Criando Variáveis""**:
     - **Seu nome** (string).  
     - **Seu sobrenome** (string).  
     - **Sua idade** (número).  
     - **Se você está na faculdade** (booleano).  
   - Retorne essas informações formatadas em tags HTML (como `` ou ``).  

4. **Na página `app &gt; page.tsx` (ou `app &gt; page.jsx`):**  
   - Importe o componente `UserInfo`.  
   - Utilize o componente na **Home** para exibir as informações no navegador.  

**Dica:**  
- Para criar componentes reutilizáveis, utilize boas práticas de organização de arquivos, mantendo-os em uma pasta como **`components`**.  
- Lembre-se de exportar o componente de `UserInfo.tsx` para poder utilizá-lo em outros arquivos.
",Componentes + Next.js,rw173255101957441e7dd
Criando minha primeira página,Este exercício ensina a criar a estrutura básica de uma página HTML5,"
**Objetivo**

Aprender a criar uma página HTML simples e profissional utilizando a estrutura básica do HTML5 e aplicando tags semânticas para organizar o conteúdo de forma clara e acessível. O propósito é desenvolver uma página profissional que possa servir como um portfólio ou currículo online, onde você pode apresentar sua biografia, formação, experiências, projetos e informações de contato.

**Instruções**

Siga os passos abaixo para criar sua página:

**1. Estrutura Básica do Documento**

- **Declaração do Tipo de Documento**: Comece seu arquivo com `` para indicar que está utilizando HTML5.
- **Tag ``**: Envolva todo o conteúdo da sua página dentro da tag ``.

**2. Seção ``**

Dentro da tag ``, inclua:

- **Metadados**:
  - Utilize `` para definir a codificação de caracteres e garantir que caracteres especiais sejam exibidos corretamente.
- **Título da Página**:
  - Utilize `` para definir o título que aparecerá na aba do navegador.

**3. Seção ``**

Esta é a área onde o conteúdo visível da sua página será colocado.

**a) Cabeçalho da Página**

- Utilize a tag semântica `` para o cabeçalho.
- Inclua um título principal com seu nome ou o nome da página.
- Adicione uma frase que te inspira ou um slogan.

**b) Barra de Navegação**

- Se quiser adicionar links para diferentes partes da sua página, utilize a tag `` para criar uma barra de navegação.
- Crie apenas a tag `` pois na próxima atividade iremos adicionar os links.

**c) Conteúdo Principal**

- Envolva o conteúdo principal dentro da tag ``.

Dentro de ``, organize as seguintes seções:

- **i) Biografia**
  - Use a tag `` para esta parte.
  - Inclua:
    - Seu **nome**.
    - Sua **área de interesse** (exemplo: Desenvolvimento Web, Design Gráfico).
    - Uma breve descrição sobre você.

- **ii) Formação**
  - Crie outra `` para listar sua formação acadêmica ou cursos relevantes que você já fez.

- **iii) Experiência**
  - Utilize `` para detalhar suas experiências profissionais ou projetos nos quais você já trabalhou.

- **iv) Portfólio**
  - Outra `` onde você pode mostrar trabalhos ou projetos realizados.

- **v) Hobbies**
  - Use a tag `` se quiser destacar esta seção como conteúdo complementar.
  - Liste seus hobbies ou atividades que gosta de fazer no tempo livre.

**d) Contato**

- Crie uma `` para informações de contato.
- Inclua seu e-mail, telefone ou links para redes sociais.

**e) Rodapé da Página**

- Utilize a tag `` para o rodapé.
- Adicione informações adicionais, como direitos autorais ou notas finais.

**Dicas Adicionais**

- **Organização Semântica**: O uso de tags semânticas como ``, ``, ``, ``, ``, `` e `` ajuda na acessibilidade e na otimização para motores de busca.
- **Comentários**: Caso seja necessário utilize comentários `` para se orientar durante a construção da página.
- **Validação**: Após terminar, valide seu código HTML para verificar se há erros de sintaxe.

**Resultado Esperado**

Ao finalizar este exercício, você terá:

- Uma página HTML estruturada corretamente com a sintaxe básica do HTML5.
- Utilizado tags semânticas para melhorar a organização e acessibilidade do conteúdo.
- Praticado a criação de conteúdo pessoal que pode ser expandido para um portfólio ou currículo online.

**Observação**

- Não se preocupe com estilos ou design neste momento; o foco é compreender a estrutura HTML.
- Este exercício é adequado para todos os níveis, então sinta-se à vontade para adicionar mais detalhes ou se manter no básico, conforme seu conforto.
",Estrutura Básica,rw1730385185255d8d1fc
Criando o primeiro CRUD com PrismaORM,"A partir de agora você vai aprenderá como realizar as quatro operações fundamentais de banco de dados  CRUD: Create (Criar), Read (Ler), Update (Atualizar) e Delete (Deletar) utilizando o Prisma ORM","Seguindo o exercício anterior, você criará um novo usuário no banco de dados. O Prisma torna isso incrivelmente poderoso, permitindo criar registros em tabelas relacionadas em uma única chamada.

**Passo 1: Edite o arquivo  prisma/client: Criar o schema do banco de dados**
```bash
generator client {
  provider = ""prisma-client-js""
}

datasource db {
  provider = ""sqlite""
  url      = ""file:./dev.db""
}
​
model User {
  id    Int      *id  *default(autoincrement())
  name  String
  email String   unique
  posts Post[]
  createdAt DateTime  *default(now())
  updatedAt DateTime  *updatedAt
}

model Post {
  id        Int       *id  *default(autoincrement())
  title     String
  content   String?
  published Boolean   *default(false)
  authorId  Int
  author    User      relation(fields: [authorId], references: [id], onDelete: Cascade)
  createdAt DateTime  *default(now())
  updatedAt DateTime  *updatedAt
}

```

---

**Passo 2: Gerar o Prisma Client**

```bash
​npx prisma generate
```

---
​
**Passo 3:  Aplicar as mudanças no banco de dados**

```bash
npx prisma db push
```

---


**Passo 4: ​Criar o script CRUD completo:**
Crie crud-simple.ts na raiz



```ts
import prisma from './lib/prisma'

async function main() {
  console.log(' CRUD Simples com Prisma\n')

  try {
    // Limpar dados
    await prisma.post.deleteMany()
    await prisma.user.deleteMany()
    console.log(' Dados limpos')

    // CREATE
    const user = await prisma.user.create({
      data: {
        name: 'João',
        email: 'joao test.com',
        posts: {
          create: { title: 'Meu Post' }
        }
      },
      include: { posts: true }
    })
    console.log(' Criado:', user.name)

    // READ
    const users = await prisma.user.findMany({
      include: { posts: true }
    })
    console.log(' Total usuários:', users.length)

    // UPDATE
    const updated = await prisma.user.update({
      where: { id: user.id },
      data: { name: 'João Silva' }
    })
    console.log(' Atualizado:', updated.name)

    // DELETE
    await prisma.user.delete({
      where: { id: user.id }
    })
    console.log(' Deletado com sucesso')

  } catch (error) {
    console.error(' Erro:', error)
  } finally {
    await prisma.$disconnect()
    console.log(' Finalizado')
  }
}

main()
```


​Execute o teste:


```bash
npx tsx crud-simple.ts
```


",PrismaORM,rw17507690657455f92cf
Criando sua primeira API REST,Criando API REST com Node.js Express e bodyParser,"Neste exercício, você irá construir uma API RESTful simples usando Node.js e Express. A API será capaz de realizar operações de CRUD (Create, Read, Update, Delete) em um arquivo JSON que armazenará dados de usuários.

---

**Objetivos**

- Criar uma API RESTful básica com operações CRUD.
- Ler, escrever, atualizar e excluir dados de um arquivo JSON.
- Compreender a estrutura de uma API e como ela se comunica usando métodos HTTP.

**Pré-requisitos:**

- Conhecimentos básicos de JavaScript e Node.js.
- Instalar o Node.js e o npm em sua máquina.

**Dicas:**

- **Express** para criar o servidor e manipular rotas HTTP de maneira simplificada.
- **fs(file system)** que é um módulo nativo do Node.js usado para manipular arquivos.
- **bodyParser** que serve para analisar o corpo das requisições HTTP, permitindo que o servidor receba dados no formato JSON ou como dados de formulário.



**Configuração Inicial**

1. Inicie um projeto Node.js: Abra seu terminal e crie uma pasta para o projeto. Em seguida, execute:

```bash
npm init -y
```

- Isso criará um arquivo package.json com configurações padrão.

2. Instale o **Express** e o **Body-Parser**: Execute o comando abaixo para instalar as dependências necessárias:

```bash
npm install express body-parser
```

3. Configuração do JSON de Dados: Crie um arquivo chamado users.json na raiz do projeto com o seguinte conteúdo:

```json
{
   ""user1"": { ""id"": 1, ""name"": ""Alice"", ""age"": 28, ""email"": ""alice@example.com"" },
   ""user2"": { ""id"": 2, ""name"": ""Bob"", ""age"": 34, ""email"": ""bob@example.com"" },
   ""user3"": { ""id"": 3, ""name"": ""Charlie"", ""age"": 25, ""email"": ""charlie@example.com"" }
}
```

- Esse arquivo armazenará dados dos usuários e será manipulado pelas rotas da API.

Bom trabalho! 🚀",REST API,rw1730469197801db3259
Criando tabelas e também formulários e listas,Neste exercício você aprenderá sobre formulários e também tabelas e listas,"**Objetivo**

Neste exercício, você desenvolverá habilidades para criar e estruturar formulários, tabelas e listas em HTML, tornando sua página de portfólio mais completa e interativa. Essa prática permite coletar dados de visitantes e exibir informações de forma organizada, valorizando o design e a funcionalidade do seu portfólio online.

**Instruções**

1. **Formulários para Contato**

   Adicione um formulário de contato para facilitar a comunicação com visitantes interessados em seu trabalho. Inclua campos como nome, e-mail e mensagem. Finalize com um botão de envio (obs: por hora o botão não irá funcionar).

2. **Tabelas para Dados Estruturados**

   Insira uma tabela para apresentar informações organizadas, como experiências de trabalho, qualificações ou dados relevantes sobre projetos. Estruture a tabela de forma a melhorar a legibilidade e tornar seu portfólio mais profissional.

3. **Listas para Apresentação de Conteúdos**

   Utilize listas ordenadas e não ordenadas para exibir tópicos como habilidades, interesses ou etapas de um processo de trabalho. As listas ajudam a destacar informações e tornam o portfólio visualmente mais dinâmico.

**Resultado Esperado**

Ao final deste exercício, sua página de portfólio terá formulários funcionais para coleta de dados, tabelas organizadas para exibição de informações e listas claras para destacar conteúdos importantes. Essa estrutura torna seu portfólio mais atrativo e útil para visitantes.

**Observação**

- Mantenha o foco na organização e estruturação dos elementos; o estilo e a lógica de programação será aprimorado em etapas futuras.",Formulários - Tabelas - Listas,rw17309152597892989ce
Criando uma conta no GitHub,Nesta atividade você irá criar uma conta no GitHub para conseguir criar repositórios e contribuir em projetos,"## Passo 1: Acesse o Site do GitHub
- Abra o seu navegador de internet.
- Vá para o site oficial do GitHub: [github.com](https://github.com).

## Passo 2: Inicie o Processo de Registro
- Clique no botão **Sign up** (Cadastrar-se) no canto superior direito da página.

## Passo 3: Preencha os Dados
1. **Username** (Nome de Usuário):
   - Escolha um nome de usuário que você deseja usar. Ele será visível para outros usuários.

2. **Email Address** (Endereço de Email):
   - Digite um endereço de email válido. Este será usado para a verificação da conta e para receber notificações.

3. **Password** (Senha):
   - Crie uma senha segura que tenha pelo menos 8 caracteres.

## Passo 4: Complete o Captcha
- Siga as instruções na tela para completar o CAPTCHA e provar que você não é um robô.

## Passo 5: Clique em **Create Account** (Criar Conta)
- Após preencher todos os campos e completar o CAPTCHA, clique no botão **Create Account**.

## Passo 6: Verifique Seu Email
- Acesse sua caixa de entrada e procure um email do GitHub.
- Clique no link de verificação contido no email para ativar sua conta.

## Passo 7: Personalize Sua Conta (Opcional)
- Após a verificação, você pode ser solicitado a personalizar sua conta, adicionando informações adicionais ou seguindo alguns usuários. Isso é opcional.

## Passo 8: Explore o GitHub
- Após concluir a configuração, você pode começar a explorar repositórios, criar seus próprios projetos e colaborar com outros usuários.

## Dicas Finais
- Mantenha suas informações de login seguras.
- Explore a documentação do GitHub para aprender mais sobre como usar a plataforma.

**Pronto! Você agora tem uma conta no GitHub.**
",GitHub,rw17279767069844c209b
Criando Variáveis,Aprendendo a criar variáveis e exibir nas Tags,"**Crie uma variável para armazenar cada uma das seguintes informações:**
- **Seu nome** (string)  
- **Seu sobrenome** (string)  
- **Sua idade** (número)  
- **Se você está na faculdade** (booleano)  

---

**Essas variáveis devem ser criadas na página Home, localizada em:**  
`app &gt; page.tsx` (ou `app &gt; page.jsx` se estiver usando JavaScript) no projeto Next.js.

**Instruções:**  
- Declare as variáveis no início do arquivo, utilizando boas práticas de nomenclatura.  
- Exiba os valores dessas variáveis como conteúdo dentro de tags HTML (como `
` ou `
`) no JSX ou TSX.  
- Utilize o retorno do componente padrão da página para exibir os valores.  

**Dica:**  
No JSX ou TSX, utilize chaves `{}` para retornar valores de variáveis ou expressões JavaScript/TypeScript dentro das tags HTML. Isso permite que você misture JavaScript com HTML facilmente.
",Variáveis e Constantes,rw1732543930047f3166d
Crie uma Página Web sobre Pokémons,Desafie-se a criar uma aplicação incrível que analisa as fraquezas dos Pokémons com base nos tipos e conectando backend com frontend para uma experiência interativa,"Neste exercício, você vai desenvolver uma aplicação web completa, onde seu objetivo será consumir uma API que fornece dados de Pokémons e, com base nesses dados, aplicar uma lógica para descobrir as fraquezas de cada um deles.



**Você irá praticar:**



- Conexão entre backend e frontend  

- Criação e consumo de endpoints locais ou online (como preferir)  

- Requisições HTTP (GET)  

- Manipulação de objetos e arrays em TypeScript  

- Organização de código em aplicações fullstack (Next.js ou similar)  



**Sobre a API**



A API já está pronta e disponível no GitHub caso deseje usar. Ela fornece uma lista de Pokémons em formato JSON, contendo informações como nome, ID e tipos da primeira geração.



**Você pode:**



- Clonar o repositório e rodar localmente;  

- Usar o link da API local como fonte de dados no frontend;  

- Ou ainda usar uma API online como a [https://pokeapi.co/](https://pokeapi.co/), [https://pokedexapi.com/](https://pokedexapi.com/) ou [https://pogoapi.net/](https://pogoapi.net/)  



**Exemplo de dados da API (entrada):**



```json

[

  { ""id"": 1, ""name"": ""pikachu"", ""types"": [""electric""] },

  { ""id"": 2, ""name"": ""gabite"", ""types"": [""dragon"", ""ground""] }

]

```



**Sua Tarefa**



Crie uma aplicação web que:



- Consuma os dados da API local (endpoint `GET /api/pokemons`)  

- Para cada Pokémon, calcule suas fraquezas com base nos seus tipos  

- Exiba na tela: nome, tipos e fraquezas  

- Permita filtrar os Pokémons por:

  - Nome (input de busca)

  - Tipo (select/dropdown)

  - Fraqueza (select/dropdown)



**Exemplo de saída esperada no frontend:**



```json

{

  ""name"": ""pikachu"",

  ""types"": [""electric""],

  ""weakness"": [""ground""]

}

```



## Clone o repositório



Navegue até o diretório onde você deseja clonar o repositório:



```bash

cd /caminho/para/seu/diretorio

```



Execute o comando `git clone` com o URL do repositório:



```bash

git clone https://github.com/Wander06/exercicio-pokemon-types.git

```



Isso criará uma cópia local do repositório no seu computador.



Depois de clonar o repositório, entre no diretório do projeto:



```bash

cd exercicio-pokemon-types

```



Lembre-se de usar o comando:



```bash

npm install

```



Para instalar as dependências necessárias, e:



```bash

npm run start

```



Para inicializar a aplicação.


",Projeto Pokémon,rw17325466486388a37ea
Dando nome as pedras,Terceiro exercício da lista com o objetivo de garantir que o teste seja bem-sucedido,"**O problema:**

Fazendo uso do código criado no exercício anterior, modifique-o para que, quando a pedra retirada do dominó for uma **bucha** (uma pedra com dois lados iguais), o código informe o nome da bucha.

Utilize o glossário abaixo para nomear as pedras:

| Bucha | Nome   |
| :------: | :--------|
| 0         | Branca  |
| 1         | Ás         |
| 2         | Duque  |
| 3         | Terno    |
| 4         | Quadra |
| 5         | Quina   |
| 6         | Sena     |

**Exemplo:**

Caso a bucha retirada tenha os dois lados com o número **3**, deverá ser impresso na tela:

",Condicionais,rw1726148778374f4a37c
Dominó,Segundo exercício da lista com o objetivo de garantir que o teste seja bem-sucedido,"**O problema:**

No jogo de dominó, as peças são divididas em dois lados, cada um com um número. Uma peça especial, chamada de bucha, tem o mesmo número nos dois lados.

Você deve criar um código que, dadas duas variáveis representando os lados de uma peça de dominó, verifique se ela é uma bucha. Se for, imprima ""SIM"". Caso contrário, imprima ""NÃO"".



**Exemplo:**

- const ladoA = 3; 

- const ladoB = 3;



A resposta esperada para este exemplo é ""SIM"".




",Condicionais,rw172614877687962c399
Entendendo Box Model e Box Sizing com Desafio Visual,Experimente ajustar padding border e margin para ver o impacto no tamanho e no layout de uma caixa,"**Objetivo**

Compreender como cada camada do Box Model afeta o tamanho e o posicionamento dos elementos na página.

**Instruções**

**1. Entenda o Box Model**  
   Visualize um elemento HTML como uma série de ""caixas"" empilhadas ao redor do conteúdo. Essas caixas são: `content`, `padding`, `border` e `margin`.

**2. Experimente o Padding**  
   Pense em um elemento como um botão ou uma imagem. Imagine o `padding` como o espaço que ""afasta"" o conteúdo das bordas internas. Pergunte-se: o que acontece com o tamanho do elemento ao adicionar mais `padding`?

**3. Experimente o Border**  
   Visualize o `border` como a linha ao redor do padding do elemento. Imagine variar a espessura e a cor do `border`. Pergunte-se: como um border fino ou grosso pode mudar a aparência e o foco do elemento na página?

**4. Experimente o Margin**  
   Considere o `margin` como o espaço externo, que separa o elemento de outros ao seu redor. Imagine um card ou uma imagem com `margin` de diferentes tamanhos. Pergunte-se: qual impacto visual o `margin` tem no espaçamento entre os elementos?

**5. Teste o Box Sizing**  
   Use o `box-sizing: border-box` para manter o tamanho total do elemento fixo ao adicionar padding ou border. Imagine se o tamanho visual do elemento se mantém o mesmo quando `border-box` é aplicado, em vez de `content-box`.

**Dicas**

- Ao usar `border-box`, observe como o `padding` e o `border` são incluídos no tamanho total do elemento, mantendo um layout mais estável.
- Imagine situações onde o ajuste de `margin`, `padding` ou `border` pode ajudar a manter o alinhamento dos elementos e evitar sobreposições.

",Box model e Box sizing,rw17310686110054613c9
Exibir números de 0 a 40,Primeiro exercício da lista com o objetivo de aprofundar o aprendizado," **O problema:**

Implemente o método `mostrarNumeros`, que exibe todos os números de 0 a 40.

- O método deve iterar de 0 a 40 e exibir cada número na sequência.

## Exemplos:

- Quando o método for chamado, a saída deve ser: `0, 1, 2, 3, ..., 40`.


",Repetição (Typescript: Lógica de Programação),rw1751553822823df99a1
Exibir números de 0 a N,Primeiro exercício da lista com o objetivo de garantir que o teste seja bem-sucedido,"**O problema:**

Implemente o método `mostrarNumerosAteN`, que recebe um número N e exibe todos os números de 0 até N.

- O método deve iterar de 0 até o valor de N e exibir cada número.

## Exemplos:

- Para a entrada `N = 5`, a saída deve ser: `0, 1, 2, 3, 4, 5`.
- Para a entrada `N = 10`, a saída deve ser: `0, 1, 2, 3, ..., 10`.
- Para a entrada `N = 3`, a saída deve ser: `0, 1, 2, 3`.
",Repetição,rw172788849370372c4a4
Exibir números entre M e N,Segundo exercício da lista com o objetivo de garantir que o teste seja bem-sucedido,"**O problema:**

Implemente o método `mostrarNumerosEntreMeN`, que recebe dois valores numéricos inteiros M e N e exibe todos os números entre M e N, incluindo M e N.

- O método deve garantir que M seja menor que N e iterar de M até N.

## Exemplos:

- Para a entrada `M = 3` e `N = 7`, a saída deve ser: `3, 4, 5, 6, 7`.
- Para a entrada `M = 10` e `N = 15`, a saída deve ser: `10, 11, 12, 13, 14, 15`.
- Para a entrada `M = 1` e `N = 3`, a saída deve ser: `1, 2, 3`.
",Repetição,rw1727888616227ba1cbc
Explorando Seletores CSS para Estilos Personalizados,Aprenda a aplicar estilos específicos aos elementos da página usando diferentes seletores CSS e experimente sua funcionalidade,"**Objetivo**

Aprender a selecionar e aplicar estilos a elementos específicos na sua página usando diferentes tipos de seletores CSS. Isso permitirá uma maior customização do design e maior controle sobre quais elementos recebem determinadas características visuais.

**Instruções**

Para este exercício, explore as ideias abaixo para entender melhor como cada seletor funciona e em quais contextos ele pode ser aplicado. Teste suas próprias hipóteses e veja os resultados na sua página.

1. **Seletores Básicos**:
- Pense em elementos que você gostaria de estilizar de maneira única, como um título principal, parágrafos, ou uma caixa de destaque.
- Imagine: qual diferença visual faria entre aplicar uma classe versus um ID nesses elementos? Reflita sobre quando usar cada um.

2. **Seletores Combinadores**:
- Visualize o uso de um seletor descendente: quais elementos filhos você gostaria que herdassem estilos do elemento pai?
- Tente entender como escolher entre os combinadores `>`, `+`, e `~` dependendo da estrutura de hierarquia dos elementos. Pergunte-se: como o layout mudaria ao aplicar um estilo apenas ao próximo elemento imediato em vez de todos os elementos subsequentes?

3. **Seletores de Atributo**:
- Selecione elementos específicos baseando-se em atributos. Por exemplo, como você diferenciaria um campo de entrada para email de um para número?
- Experimente imaginar usos do seletor por prefixo ou sufixo de atributo para aplicar estilos a vários elementos com uma característica comum (ex.: classes que começam com ""btn-"" para botões).

4. **Pseudo-Classes e Pseudo-Elementos**:
- Pense em um elemento que deve mudar de cor ou de estilo ao ser clicado ou quando o mouse passar sobre ele. Como o seletor `:hover` ajuda a criar essa interação?
- Para os pseudo-elementos `::before` e `::after`, imagine o que pode ser adicionado antes ou depois de um texto importante. Qual seria o efeito visual e a funcionalidade desse uso?

5. **Seletores de Grupo**:
- Identifique elementos que podem compartilhar o mesmo estilo e considere agrupá-los em um único seletor. Pergunte-se: quais elementos da página podem manter a coesão visual ao compartilharem as mesmas cores ou tamanhos de fonte?

**Dicas Adicionais**: 
- Fique a vontade para usar os seletores que quiser, não é necessário utilizar todos obrigatoriamente, mas a intenção nesse exercício é usar a criatividade e testar os diferentes tipos.
- Para cada tipo de seletor, pergunte-se qual é o impacto visual e de usabilidade no design. Esteja atento a como pequenas mudanças afetam o conjunto e garantem uma página acessível e consistente. 

",Seletores CSS,rw1731003577211cc4820
Fizz Buzz,Primeiro exercício da lista com o objetivo de garantir que o teste seja bem-sucedido,"**O problema:**

- Se o número for divisível somente por `3`, o método retorna `Fizz`
- Se o número for divisível somente por `5`, o método retorna `Buzz`
- Se o número for divisível por ambos `3` e `5`, o método retorna `FizzBuzz`
- Se o número não for divisível por nenhum dos dois, o método retorna o próprio número em formato de String

__Dicas:__

Utilize o operador `%` para saber se um número é divisível por outro. Para saber se um número é divisível por 2, por exemplo, podemos usar o seguinte:

```javascript
int numero = 4;

if (numero % 2 === 0) {
    console.log(""O numero eh divisivel por 2"");
} else {
    console.log(""O numero nao eh divisivel por 2"");
}
```

Para converter um número inteiro para String, pode-se utilizar os métodos `String()`

```javascript
const numero = String(2); // numero == ""2""

```

## Traduz numeros divisiveis por 3 para Fizz

- Ao receber ""3"" deve retornar ""Fizz""
- Ao receber ""6"" deve retornar ""Fizz""
- Ao receber ""12"" deve retornar ""Fizz""

## Traduz números divisíveis por 5 para Buzz

- Ao receber ""5"" deve retornar ""Buzz""

## Traduz números divisíveis por 3 e por 5 para FizzBuzz

- Ao receber ""15"" deve retornar ""FizzBuzz""
- Ao receber ""30"" deve retornar ""FizzBuzz""
- Ao receber ""45"" deve retornar ""FizzBuzz""

## Traduz números que não são diviseis para o próprio numero em forma de String

- Ao receber ""7"" deve retornar ""7""
- Ao receber ""2"" deve retornar ""2""",Fundamentos,rw1716905602727ecf72e
